geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240054304003,480.2091004,1356,2.823769893,994,2.069931618,1.364185111,362
240054001002,101.4665691,1804,17.77925493,425,4.1885717,4.244705882,1379
240054925001,453.1197027,3429,7.567536745,497,1.096840409,6.899396378,2932
240054010001,145.309944,2624,18.05795204,511,3.516620996,5.135029354,2113
245102501031,116.2276432,3443,29.62290129,613,5.274132584,5.616639478,2830
240054004002,556.8124422,1181,2.121001455,848,1.522954474,1.392688679,333
245102501032,193.4326861,3160,16.3364324,365,1.886961337,8.657534247,2795
240054304001,853.4466228,10746,12.59129712,558,0.653819448,19.25806452,10188
240054304002,445.6645399,1479,3.318639621,833,1.869118867,1.775510204,646
