geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240276054023,199.696802,7021,35.15829964,459,2.29848448,15.2962963,6562
240276056021,452.8414623,5289,11.67958423,646,1.426547818,8.187306502,4643
240276054021,189.6712513,1387,7.312652764,611,3.221363258,2.2700491,776
240276054024,277.2514987,1932,6.968402368,1154,4.162285886,1.674176776,778
240276067071,1991.701962,26442,13.27608272,1253,0.62911019,21.10295291,25189
240276067061,242.3231839,2688,11.09262414,558,2.302709922,4.817204301,2130
240276067072,603.433032,4985,8.261065827,774,1.282660973,6.440568475,4211
240276067051,351.9501539,2785,7.913052371,1155,3.281714717,2.411255411,1630
240276067011,556.2290269,1263,2.270647411,672,1.20813544,1.879464286,591
