geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
245102801021,410.6141552,13737,33.45476484,158,0.384789462,86.94303797,13579
245102801012,226.7711263,4278,18.86483553,537,2.368026339,7.966480447,3741
240054034022,147.1135646,1661,11.2905972,557,3.786190631,2.982046679,1104
240054034021,572.6728871,4546,7.938214122,474,0.827697645,9.5907173,4072
240054034012,196.8602818,1218,6.187129211,541,2.748141957,2.251386322,677
240054037011,224.1053558,1354,6.041801167,809,3.609909265,1.673671199,545
240054034011,251.3207771,1321,5.256230763,1031,4.102326962,1.28128031,290
