geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240317025004,85.29798412,9793,114.8092783,1750,20.51631135,5.596,8043
240317028002,18.45430778,1153,62.47863715,744,40.31579015,1.549731183,409
240317025001,160.6514681,8585,53.43866511,880,5.477696598,9.755681818,7705
240317026012,39.01172761,1002,25.68458413,791,20.27595414,1.266750948,211
110010016002,47.80990694,1084,22.67312508,307,6.421263283,3.530944625,777
110010017022,128.5095111,1865,14.51254451,746,5.805017806,2.5,1119
110010016001,119.0043639,1279,10.74750504,485,4.075480799,2.637113402,794
