geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240338070002,309.890137,1426,4.601630802,613,1.978120394,2.326264274,813
240338071022,759.1092847,1480,1.949653403,686,0.903690699,2.157434402,794
240338072004,645.7917991,1486,2.301051209,180,0.278727603,8.255555556,1306
240338063001,268.1901524,2141,7.983141741,676,2.520599634,3.167159763,1465
240338065011,140.9796731,2204,15.63345943,541,3.837432645,4.073937153,1663
240338059082,153.7634116,4646,30.2152505,471,3.063147435,9.864118896,4175
240338072002,339.4938298,18582,54.73442628,667,1.96468961,27.85907046,17915
