geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240054407012,439.1463999,7364,16.7688953,1376,3.13335143,5.351744186,5988
240054113072,222.1848544,3120,14.04236129,921,4.145197036,3.38762215,2199
240054512001,992.6577643,7728,7.785160483,996,1.003366957,7.759036145,6732
240054406001,1514.444779,8760,5.78429806,1331,0.878869945,6.581517656,7429
240054407021,329.6662103,1299,3.940349236,1275,3.867548326,1.018823529,24
240054517012,1147.341643,4482,3.906421447,962,0.838459936,4.659043659,3520
240054407022,371.070163,1045,2.816178998,1380,3.718973222,0.757246377,-335
240054408001,725.5281873,1811,2.496112531,1733,2.388604647,1.045008656,78
