geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
515102018013,253.6237972,14667,57.8297469,746,2.941364368,19.66085791,13921
515102019002,95.38951187,8494,89.04542893,657,6.88754966,12.92846271,7837
515102007021,277.2727497,7604,27.42426007,2457,8.861310757,3.094831095,5147
515102019001,75.98681447,7020,92.38444919,395,5.198270289,17.7721519,6625
515102018014,75.49729914,3554,47.07453168,677,8.967208201,5.249630724,2877
515102018012,330.1305209,1944,5.888580051,1409,4.268008895,1.379701916,535
515102018022,51.99932787,1917,36.86586113,439,8.442416815,4.366742597,1478
515102016002,77.1751432,1118,14.48652965,1164,15.08257648,0.9604811,-46
