geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
510131034021,44.89974944,6329,140.9584704,518,11.53681271,12.21814672,5811
510131035021,114.3741073,8744,76.4508699,1164,10.17712861,7.512027491,7580
510131034024,29.80977845,2280,76.48496966,598,20.06053152,3.81270903,1682
510131034023,69.44791764,1877,27.02744825,660,9.50352469,2.843939394,1217
510139802001,900.5359711,4413,4.900415021,109,0.12103903,40.48623853,4304
510131034022,20.522578,1494,72.79787169,559,27.23829336,2.672629696,935
510131035032,23.13324405,2529,109.3231885,1061,45.86473034,2.383600377,1468
510131034025,111.1775549,5695,51.22436811,494,4.443342905,11.52834008,5201
